experiment_id,tag,target,model_spec,seed,model,hypothesis,features,calibration,n_train,n_val,n_test,pos_train,pos_val,pos_test,train_weeks,val_weeks,test_weeks,n_features,n_trees,pr_auc,roc_auc,pr_auc_cal,roc_auc_cal,precision,recall,brier,n_unique_pred,status
dev|propagation_vulnerability|A|seed42,dev,propagation_vulnerability,A,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Individual financial features only; no peer/network context. Lower bound.,43 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,8.0,9.0,7.0,1-78,87-118,127-156,43.0,1.0,0.2560130126039737,0.9128837059713404,0.2542182539682539,0.785505830782242,0.4444444444444444,0.5714285714285714,0.0005823911802002899,3.0,ok
dev|propagation_vulnerability|B|seed42,dev,propagation_vulnerability,B,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","Individual + network context (M2C Model B, 51 features). The baseline to beat.",51 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,8.0,9.0,7.0,1-78,87-118,127-156,51.0,1.0,0.0005833333333333334,0.4735262236304511,0.0005833333333333334,0.49920787125823396,0.0,0.0,0.0005835938554493946,4.0,ok
dev|propagation_vulnerability|B+P0_m2c_exposure|seed42,dev,propagation_vulnerability,B+P0_m2c_exposure,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","M2C Model C. Exposure = peer_predicted_stress_mean * borrower_liability_share; both factors already in B, so no new information is expected.",52 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,8.0,9.0,7.0,1-78,87-118,127-156,52.0,1.0,0.0005833333333333334,0.4735262236304511,0.0005833333333333334,0.49920787125823396,0.0,0.0,0.0005835938554493946,4.0,ok
dev|propagation_vulnerability|B+P1_liab_channel|seed42,dev,propagation_vulnerability,B+P1_liab_channel,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Routing peer stress through the CONTRACTUAL liability weight (the generator transmission channel) rather than a wealth share should add information B lacks.,52 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,8.0,9.0,7.0,1-78,87-118,127-156,52.0,1.0,0.0005833333333333334,0.4735262236304511,0.0005833333333333334,0.49920787125823396,0.0,0.0,0.0005835938554493946,4.0,ok
dev|propagation_vulnerability|B+P2_concentration|seed42,dev,propagation_vulnerability,B+P2_concentration,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Mean peer stress cannot distinguish one severe peer from several mild ones; max/count/HHI restore that structure.,54 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,8.0,9.0,7.0,1-78,87-118,127-156,54.0,1.0,0.0005833333333333334,0.4735262236304511,0.0005833333333333334,0.49920787125823396,0.0,0.0,0.0005835938554493946,4.0,ok
dev|propagation_vulnerability|B+P3_persistence|seed42,dev,propagation_vulnerability,B+P3_persistence,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",A peer stressed for several consecutive weeks drains the group pot cumulatively; decay and velocity capture duration the contemporaneous mean discards.,53 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,8.0,9.0,7.0,1-78,87-118,127-156,53.0,1.0,0.0005833333333333334,0.4735262236304511,0.0005833333333333334,0.49920787125823396,0.0,0.0,0.0005835938554493946,4.0,ok
dev|propagation_vulnerability|B+P4_dest_fragility|seed42,dev,propagation_vulnerability,B+P4_dest_fragility,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Absolute buffer adequacy (buffer / obligation) measures capacity to absorb a liability call; B only has a RELATIVE wealth share.,53 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,8.0,9.0,7.0,1-78,87-118,127-156,53.0,1.0,0.0005833333333333334,0.4735262236304511,0.0005833333333333334,0.49920787125823396,0.0,0.0,0.0005835938554493946,4.0,ok
dev|propagation_vulnerability|B+P5_process|seed42,dev,propagation_vulnerability,B+P5_process,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","Propagation as a process: source stress x contractual channel x persistence x destination vulnerability, in one interpretable scalar.",52 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,8.0,9.0,7.0,1-78,87-118,127-156,52.0,1.0,0.0005833333333333334,0.4735262236304511,0.0005833333333333334,0.49920787125823396,0.0,0.0,0.0005835938554493946,4.0,ok
dev|propagation_vulnerability|B+P6_full|seed42,dev,propagation_vulnerability,B+P6_full,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",All research propagation features together; upper bound on what this family can contribute.,61 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,8.0,9.0,7.0,1-78,87-118,127-156,61.0,1.0,0.0005833333333333334,0.4735262236304511,0.0005833333333333334,0.49920787125823396,0.0,0.0,0.0005835938554493946,4.0,ok
dev|rt_new_stress|A|seed42,dev,rt_new_stress,A,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Individual financial features only; no peer/network context. Lower bound.,43 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,54.0,25.0,20.0,1-78,87-118,127-156,43.0,2.0,0.29823366564553244,0.6842696160267112,0.29823366564553244,0.6842779632721202,0.2647058823529412,0.45,0.0015096555845510553,19.0,ok
